car_make,car_model,year,engine_size,horsepower,acceleration_time,price,mileage
Porsche,911,2022,3.0,379.0,4.0,101200,39900.0
Lamborghini,Huracan,2021,5.0,630.0,2.8,274390,36565.0
Ferrari,488 GTB,2022,4.0,661.0,3.0,333750,35997.0
Audi,R8,2022,5.0,562.0,3.2,142700,39419.0
McLaren,720S,2021,4.0,710.0,2.7,298000,36565.0
BMW,M8,2022,4.0,617.0,3.1,130000,38354.0
Mercedes-Benz,AMG GT,2021,4.0,523.0,3.8,118500,30256.0
Chevrolet,Corvette,2021,6.0,490.0,2.8,59900,19208.0
Ford,Mustang Shelby GT500,2022,5.0,760.0,3.5,81000,41361.0
Nissan,GT-R Nismo,2021,4.0,600.0,2.5,212000,46558.0
Aston Martin,DB11,2021,5.0,630.0,3.5,201495,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.4,3000000,36565.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,61000,45110.0
Jaguar,F-Type,2022,3.0,296.0,5.4,70100,27244.0
Koenigsegg,Jesko,2021,5.0,1280.0,2.5,2800000,36565.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,104450,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.8,150000,36565.0
Porsche,Boxster,2021,2.0,300.0,4.7,62000,51000.0
Alfa Romeo,Giulia Quadrifoglio,2022,3.0,505.0,3.8,78000,35997.0
Ariel,Atom,2021,2.0,320.0,2.8,75000,36565.0
Bentley,Continental GT,2021,6.0,626.0,3.6,225000,36565.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Mercedes-AMG,SLS AMG,2021,6.0,622.0,3.5,248000,36565.0
Pagani,Huayra,2021,6.0,720.0,2.8,2800000,36565.0
Polestar,1,2021,2.0,600.0,4.1,155000,36565.0
Porsche,Cayman GT4,2022,4.0,414.0,3.8,100200,38140.0
Lamborghini,Aventador SVJ,2021,6.0,759.0,2.8,517770,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS7,2022,4.0,591.0,3.5,117000,39419.0
McLaren,Artura,2021,3.0,671.0,3.0,225000,36565.0
BMW,M4,2022,3.0,503.0,3.8,72800,44750.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.2,222000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.5,45690,46558.0
Lamborghini,Urus,2021,4.0,641.0,3.5,218000,36565.0
Ferrari,Roma,2021,4.0,611.0,3.3,222000,36565.0
Audi,RS3,2022,2.0,394.0,3.9,57000,29500.0
McLaren,GT,2021,4.0,612.0,3.1,210000,36565.0
Mercedes-Benz,CLS63 AMG,2019,4.0,603.0,3.4,132000,30256.0
Porsche,Cayman,2021,2.0,300.0,5.1,58900,41833.0
Lamborghini,Aventador SVJ,2021,6.0,759.0,2.8,518000,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS3,2022,2.0,394.0,3.9,56200,29500.0
McLaren,570S,2021,4.0,562.0,2.8,192500,36565.0
BMW,M4,2022,3.0,503.0,3.8,71800,44750.0
Mercedes-Benz,AMG C63,2021,4.0,503.0,3.8,68000,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.1,42500,29808.0
Ford,Mustang GT,2022,5.0,460.0,4.3,39000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.8,46100,46558.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,142100,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105000,36565.0
Porsche,Panamera,2021,3.0,325.0,5.1,87200,38500.0
Lamborghini,Urus,2021,4.0,641.0,3.2,218000,36565.0
Ferrari,Roma,2021,4.0,612.0,3.4,222000,36565.0
