Car Make,Car Model,Car Year,Car Mileage,Car Price
Ford,Mustang,2024,1000,48998
Smart,Fortwo,2015,39000,10599
Mazda,MX-5,2019,8000,30998
Mazda,MX-5,2018,58000,21998
Hyundai,Genesis,2013,24000,22998
Chevrolet,Corvette,2014,24000,39998
Chevrolet,Camaro,2019,22000,39998
Mazda,MX-5,2018,17000,24998
Chevrolet,Camaro,2013,16000,31998
Nissan,Z,2024,4000,48998
Fiat,124,2017,32000,19998
Scion,FR-S,2015,69000,19998
Chevrolet,Corvette,2016,9000,52998
Ford,Mustang,2024,4000,49998
Ford,Mustang,2021,41000,24998
Jaguar,F-Type,2021,14000,58998
Nissan,Z,2023,1000,44998
Dodge,Challenger,2020,28000,30998
Lexus,RC,2015,79000,23998
Nissan,370Z,2016,116000,21998
BMW,M4,2017,76000,37998
Dodge,Challenger,2022,54000,25998
Dodge,Challenger,2022,53000,25998
Dodge,Challenger,2022,37000,25998
Acura,TLX,2015,44000,20998
Mazda,MX-5,2021,27000,28998
Chevrolet,Camaro,2020,57000,28998
Chevrolet,Camaro,2020,7000,39998
Chevrolet,Corvette,2022,4000,72998
Audi,TTS,2019,14000,42998
Mercedes-Benz,CLS550,2017,44000,30998
Nissan,370Z,2020,15000,30998
Jaguar,F-Type,2016,31000,45998
Ford,Mustang,2018,65000,31998
Ford,Mustang,2023,48000,27998
Ford,Mustang,2017,24000,34998
Chevrolet,Camaro,2022,13000,41998
Volkswagen,Jetta,2019,24000,24998
Ford,Mustang,2020,49000,23998
Dodge,Charger,2023,5000,56998
Ford,Mustang,2019,6000,43998
Ford,Mustang,2020,26000,25998
Volkswagen,Eos,2015,35000,19998
Jaguar,F-Type,2017,30000,32998
Mazda,MX-5,2019,42000,24998
Smart,Fortwo,2014,77000,9998
Mini,Cooper,2013,65000,13599
Dodge,Charger,2023,13000,27998
Toyota,Supra,2022,6000,43998
Dodge,Challenger,2020,24000,24998
Acura,TLX,2015,91000,18998
Chevrolet,Corvette,2023,4000,71998
Chevrolet,Camaro,2017,83000,19998
Chevrolet,Camaro,2016,68000,20998
Acura,TLX,2015,101000,16998
Dodge,Challenger,2018,28000,29998
Dodge,Challenger,2020,8000,38998
Chevrolet,Corvette,2024,4000,69998
Dodge,Dart,2016,83000,12998
Audi,A5,2016,72000,18998
Ford,Mustang,2015,106000,17998
Audi,A5,2020,46000,31998
Porsche,718,2019,44000,50998
Chevrolet,Corvette,2023,7000,74998
Chevrolet,Camaro,2019,49000,23998
Nissan,Z,2024,23000,42998
