Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
Acura,TLX,,2015,101K mi,"$16,998*"
Acura,TLX,,2015,91K mi,"$18,998*"
Scion,FR-S,,2014,110K mi,"$17,998*"
Chevrolet,Camaro,LT,2017,83K mi,"$19,998*"
Dodge,Challenger,SXT,2019,41K mi,"$24,998*"
Chevrolet,Corvette,Stingray 2LT,2023,4K mi,"$71,998*"
Chevrolet,Camaro,LT,2016,68K mi,"$20,998*"
Mazda,MX-5,Miata Club,2019,10K mi,"$26,998*"
Chevrolet,Camaro,LT,2017,35K mi,"$23,998*"
Chevrolet,Camaro,LT,2014,69K mi,"$19,998*"
Nissan,Z,Performance,2024,23K mi,"$42,998*"
Mazda,MX-5,Miata Grand Touring,2022,14K mi,"$28,998*"
Ford,Mustang,Ecoboost,2015,106K mi,"$17,998*"
Audi,A5,Premium Plus,2020,46K mi,"$31,998*"
Mercedes-Benz,SLC300,,2017,32K mi,"$26,998*"
Mazda,MX-5,Miata RF Grand Touring,2018,26K mi,"$24,998*"
Mazda,MX-5,Miata Grand Touring,2021,7K mi,"$28,998*"
Jaguar,XE,R-Sport,2017,32K mi,"$24,998*"
Dodge,Dart,SXT Sport Rallye,2016,83K mi,"$12,998*"
Mazda,MX-5,Miata Grand Touring,2020,18K mi,"$26,998*"
Dodge,Challenger,R/T,2018,28K mi,"$29,998*"
Dodge,Challenger,R/T Scat Pack,2020,8K mi,"$38,998*"
Ford,Mustang,Mach 1,2023,8K mi,"$52,998*"
Dodge,Challenger,SXT,2019,30K mi,"$26,998*"
Mercedes-Benz,SLC300,,2017,32K mi,"$26,998*"
Mazda,MX-5,Miata RF Grand Touring,2018,26K mi,"$24,998*"
Mazda,MX-5,Miata Grand Touring,2021,7K mi,"$28,998*"
Jaguar,XE,R-Sport,2017,32K mi,"$24,998*"
Dodge,Dart,SXT Sport Rallye,2016,83K mi,"$12,998*"
Mazda,MX-5,Miata Grand Touring,2020,18K mi,"$26,998*"
Chevrolet,Corvette,Stingray 2LT,2021,8K mi,"$69,998*"
Jaguar,XE,R-Sport,2017,43K mi,"$24,998*"
Audi,S4,Premium Plus,2024,1K mi,"$54,998*"
Dodge,Challenger,GT,2020,24K mi,"$29,998*"
Jaguar,XF,25t Prestige,2019,23K mi,"$27,998*"
Dodge,Challenger,SXT,2022,57K mi,"$24,998*"
Volkswagen,Eos,Komfort,2015,35K mi,"$19,998*"
Ford,Mustang,Ecoboost Premium,2020,26K mi,"$25,998*"
Ford,Mustang,Bullitt,2019,6K mi,"$43,998*"
Ford,Mustang,Ecoboost Premium,2020,49K mi,"$23,998*"
Volkswagen,Jetta,GLI Autobahn,2019,24K mi,"$24,998*"
Dodge,Challenger,SXT Plus,2016,94K mi,"$20,998*"
Dodge,Challenger,R/T Scat Pack Widebody,2022,28K mi,"$47,998*"
Chevrolet,Camaro,ZL1,2020,9K mi,"$62,998*"
